time,sensortype,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy,nis
11477010443000000,RADAR,0.360,0.600,-4.800,0.002,0.202,0.386,2.682,0.000,0.158,0.214,7.482,0.002,0.000
11477010443050000,LASER,0.120,0.600,-4.801,0.005,0.221,0.680,2.678,0.037,0.133,0.161,7.481,0.023,0.093
11477010443100000,RADAR,-0.120,0.601,-4.801,0.010,-0.071,0.872,0.100,2.640,0.112,0.205,6.731,1.518,9.556
11477010443150000,LASER,-0.360,0.601,-4.802,0.017,-0.205,0.787,-0.620,2.066,0.124,0.200,6.193,1.667,5.514
11477010443200000,RADAR,-0.600,0.602,-4.802,0.025,-0.693,0.703,-3.377,0.699,0.119,0.185,5.576,1.521,31.599
11477010443250000,LASER,-0.840,0.604,-4.803,0.035,-0.855,0.698,-3.378,0.429,0.108,0.173,5.123,1.398,2.292
11477010443300000,RADAR,-1.080,0.606,-4.804,0.046,-1.073,0.677,-3.834,1.045,0.100,0.162,4.757,1.348,14.485
11477010443350000,LASER,-1.321,0.608,-4.805,0.060,-1.256,0.706,-3.847,0.872,0.097,0.156,4.463,1.293,1.102
11477010443400000,RADAR,-1.561,0.612,-4.806,0.075,-1.510,0.687,-4.170,0.219,0.093,0.149,4.213,1.220,3.630
11477010443450000,LASER,-1.801,0.616,-4.807,0.091,-1.681,0.686,-4.079,0.143,0.096,0.143,4.003,1.158,2.571
11477010443500000,RADAR,-2.041,0.621,-4.808,0.109,-1.935,0.684,-4.252,0.050,0.097,0.138,3.821,1.104,5.324
11477010443550000,LASER,-2.282,0.627,-4.809,0.129,-2.166,0.701,-4.293,0.051,0.098,0.134,3.661,1.057,1.125
11477010443600000,RADAR,-2.522,0.634,-4.810,0.151,-2.459,0.587,-4.425,-0.791,0.096,0.129,3.519,1.049,9.345
11477010443650000,LASER,-2.763,0.642,-4.811,0.174,-2.688,0.610,-4.465,-0.520,0.095,0.125,3.392,1.028,3.381
11477010443700000,RADAR,-3.003,0.651,-4.812,0.199,-2.951,0.661,-4.546,-0.104,0.093,0.120,3.278,0.996,7.590
11477010443750000,LASER,-3.244,0.662,-4.813,0.226,-3.196,0.710,-4.559,0.189,0.090,0.117,3.175,0.964,2.381
11477010443800000,RADAR,-3.484,0.674,-4.813,0.254,-3.443,0.674,-4.609,-0.031,0.088,0.114,3.080,0.938,1.164
11477010443850000,LASER,-3.725,0.687,-4.814,0.284,-3.687,0.596,-4.625,-0.425,0.086,0.113,2.994,0.927,2.670
11477010443900000,RADAR,-3.966,0.702,-4.814,0.315,-3.927,0.675,-4.645,0.043,0.085,0.110,2.914,0.904,3.412
